Date,Close/Last,Volume,Open,High,Low
05/06/2019,127.27,3161584,$129.0994,$129.322,$126.2828
04/06/2019,128.43,3913535,$125.402,$128.48,$124.9423
03/06/2019,124.15,4267080,$123.021,$124.4341,$122.9823
31/05/2019,122.91,3539343,$124.318,$124.318,$122.779
30/05/2019,125.41,2741880,$125.5762,$125.7989,$124.7922
29/05/2019,125.53,3678978,$125.8279,$126.0989,$124.2018
28/05/2019,126.27,4909121,$127.8895,$128.3832,$126.0892
24/05/2019,128.03,2596121,$129.2446,$129.9367,$127.3669
23/05/2019,128.14,5343437,$130.7933,$130.7933,$126.2538
22/05/2019,131.97,1849821,$131.6353,$132.3613,$131.3562
21/05/2019,132.07,2503504,$131.7515,$132.6613,$131.4321
20/05/2019,130.78,3264649,$129.2446,$131.0836,$128.6646
17/05/2019,130.01,2619135,$130.3577,$131.0643,$129.6415
16/05/2019,131.52,3017472,$130.4158,$131.7418,$130.319
15/05/2019,130.09,2551009,$128.3348,$130.2706,$128.1218
14/05/2019,129.03,3280374,$127.5895,$130.0093,$127.454
13/05/2019,127.20,4958021,$129.0026,$129.2833,$126.7571
10/05/2019,130.98,3977686,$130.5513,$131.3934,$128.1702
09/05/2019,131.00,4192942,$130.561,$131.2335,$128.7607
08/05/2019,133.57,3818909,$133.3485,$134.2487,$132.7291
07/05/2019,133.22,4726771,$134.6842,$135.0327,$131.8192
06/05/2019,135.87,2793655,$133.8615,$136.1748,$133.4744
03/05/2019,135.75,2580034,$135.2166,$136.4749,$135.1488
02/05/2019,135.11,3541352,$135.9909,$136.7459,$134.9359
01/05/2019,136.05,3053683,$136.0393,$137.2589,$135.6715
30/04/2019,135.77,4195775,$134.6455,$135.9328,$134.2293
29/04/2019,134.59,2764845,$134.6842,$135.1488,$134.3552
26/04/2019,134.96,2319706,$134.8681,$135.4005,$134.3552
25/04/2019,134.18,2910104,$135.2166,$135.2632,$133.2905
24/04/2019,135.46,2628270,$136.0877,$136.7749,$135.294
23/04/2019,135.93,4421083,$134.6842,$136.3974,$134.4809
22/04/2019,134.43,4493876,$134.9456,$136.049,$134.0357
18/04/2019,135.83,4827584,$134.5391,$135.9812,$134.2487
17/04/2019,134.65,12513600,$132.9614,$137.4234,$131.887
16/04/2019,140.48,6234362,$139.7658,$140.724,$139.398
15/04/2019,139.28,3444614,$139.7658,$139.8235,$138.672
12/04/2019,139.72,2818340,$139.6302,$139.8045,$139.0882
11/04/2019,139.17,2941983,$139.185,$139.4851,$138.4397
10/04/2019,138.43,2674521,$137.6364,$138.8898,$137.4234
09/04/2019,137.55,3037700,$138.0816,$138.3623,$137.2879
08/04/2019,138.79,2116945,$138.43,$138.8172,$138.2849
05/04/2019,138.68,2730860,$138.6914,$138.8946,$137.888
04/04/2019,138.20,2771087,$139.0108,$139.5141,$137.9654
03/04/2019,139.02,2681044,$139.0398,$139.5915,$138.4204
02/04/2019,138.41,2400493,$138.7495,$139.3302,$138.0235
01/04/2019,138.70,3811916,$136.9685,$138.8075,$136.9685
29/03/2019,136.57,3101419,$135.9909,$136.6878,$135.6522
28/03/2019,135.43,2571619,$135.4199,$135.9328,$134.6358
27/03/2019,134.77,3091432,$135.9038,$135.9812,$133.9583
26/03/2019,135.72,2406340,$135.4392,$136.4942,$134.9456
25/03/2019,134.71,2771582,$134.5971,$135.4199,$133.9099
22/03/2019,134.97,3877002,$136.4458,$136.9008,$134.4423
21/03/2019,136.90,3576952,$134.6358,$137.5589,$134.4229
20/03/2019,135.12,3646608,$136.02,$136.1845,$134.5197
19/03/2019,135.98,3454919,$136.4362,$137.1547,$135.5089
18/03/2019,135.71,3267620,$135.3424,$135.8603,$134.268
15/03/2019,134.96,7153180,$134.8972,$135.8264,$134.7617
14/03/2019,134.34,2738418,$134.0648,$134.481,$133.6292
13/03/2019,134.11,3168333,$133.6195,$134.8536,$133.426
12/03/2019,133.84,3954350,$134.0745,$135.2118,$133.4356
11/03/2019,133.29,3935904,$131.6644,$133.3098,$131.4805
08/03/2019,130.75,3773562,$129.9028,$130.8997,$129.293
07/03/2019,131.02,4358264,$132.2258,$132.4968,$130.3135
06/03/2019,132.58,2768250,$133.6873,$133.9479,$132.3322
05/03/2019,133.46,4196775,$133.9293,$134.2874,$133.1404
04/03/2019,133.99,3404089,$135.4973,$135.5844,$132.7678
01/03/2019,134.73,2979597,$134.8391,$135.5457,$134.1906
28/02/2019,133.70,3450137,$134.3164,$134.5923,$133.3001
27/02/2019,134.70,2530848,$134.781,$135.0908,$133.959
26/02/2019,135.24,3059551,$135.1876,$135.9812,$134.994
25/02/2019,134.98,3193627,$135.507,$135.9619,$134.8488
22/02/2019,134.78,3111900,$134.2777,$134.9069,$133.9874
21/02/2019,133.42,2937236,$133.3969,$133.9099,$132.942
20/02/2019,133.57,3801087,$134.3068,$134.7714,$132.8165
19/02/2019,134.25,3383978,$133.3872,$134.2487,$132.9517
15/02/2019,133.60,3843467,$133.1646,$133.7502,$132.9759
14/02/2019,132.10,2789396,$132.7678,$133.1858,$131.8386
13/02/2019,133.11,4252066,$132.5258,$133.4937,$132.0322
12/02/2019,131.68,3313222,$130.8126,$131.8289,$130.5319
11/02/2019,129.69,3095030,$129.9802,$130.8126,$129.6124
08/02/2019,129.42,3156272,$128.0928,$129.4188,$127.9476
07/02/2019,128.92,4372136,$129.264,$130.1544,$127.8799
06/02/2019,131.95,4876834,$130.8804,$132.2645,$130.832
05/02/2019,131.20,5396802,$130.9384,$131.4611,$130.59
04/02/2019,130.85,3954689,$129.7189,$130.861,$128.7219
01/02/2019,129.80,3802091,$130.6384,$130.861,$129.0704
31/01/2019,130.11,4880772,$130.1351,$130.3925,$129.4479
30/01/2019,130.07,4488827,$129.6995,$130.6965,$128.9736
29/01/2019,130.02,5034563,$129.9802,$131.069,$129.3124
28/01/2019,129.96,5124522,$128.8284,$130.4787,$128.3251
25/01/2019,129.67,5707375,$128.6058,$130.1254,$128.1799
24/01/2019,128.28,6310355,$128.3735,$128.9304,$127.212
23/01/2019,128.63,22051560,$127.1539,$130.6674,$126.1279
22/01/2019,118.59,9734454,$119.3429,$119.8269,$117.6394
18/01/2019,119.85,6004928,$119.3139,$120.7149,$118.7719
17/01/2019,118.27,5014762,$116.6909,$118.48,$116.6812
16/01/2019,117.72,3789197,$117.6781,$118.0846,$116.9522
15/01/2019,117.82,3507503,$117.078,$118.0169,$116.9425
14/01/2019,116.53,5217705,$116.6425,$116.7826,$115.9172
11/01/2019,117.56,3664065,$117.6781,$117.712,$116.3424
10/01/2019,117.88,3837848,$116.2263,$117.9491,$116.1004
09/01/2019,116.82,3619359,$117.0296,$117.5039,$116.023
08/01/2019,115.98,4700622,$115.8197,$116.7005,$115.1616
07/01/2019,114.36,3732918,$113.7291,$115.0164,$112.9257
04/01/2019,113.55,4430160,$111.2222,$113.7194,$110.7673
03/01/2019,109.29,4154119,$110.8544,$111.1931,$109.0734
02/01/2019,111.51,4233847,$108.4153,$112.2578,$108.1055
31/12/2018,110.02,4981706,$109.6929,$110.6802,$108.8122
28/12/2018,109.40,5116291,$110.5543,$111.1157,$108.8895
27/12/2018,110.13,5839611,$106.4601,$110.1284,$105.9567
26/12/2018,107.82,6593685,$104.5339,$107.8151,$102.5401
24/12/2018,104.12,3821376,$106.373,$107.4377,$104.05
21/12/2018,107.38,10371780,$108.8895,$111.5803,$106.8956
20/12/2018,109.39,8393880,$111.9868,$112.7128,$108.1152
19/12/2018,112.69,6912152,$113.3903,$116.4102,$112.2482
18/12/2018,112.91,6161819,$113.1483,$114.4356,$112.2966
17/12/2018,112.37,7332780,$115.2487,$115.9359,$111.377
14/12/2018,116.05,4552052,$115.6649,$117.2232,$115.6068
13/12/2018,116.86,3913588,$117.3684,$117.8814,$116.3134
12/12/2018,117.27,3560423,$118.5783,$118.9364,$117.1167
11/12/2018,117.01,4806171,$119.2945,$119.8366,$116.1488
10/12/2018,117.24,6545975,$115.8972,$117.777,$114.7163
07/12/2018,115.51,6946644,$119.9237,$120.0689,$115.0551
06/12/2018,119.93,6917204,$115.8778,$119.9333,$115.4723
04/12/2018,117.70,5732774,$120.4947,$120.9109,$117.4361
03/12/2018,121.29,5764562,$121.6369,$122.5273,$120.3689
30/11/2018,120.28,7250091,$117.7556,$120.6883,$117.5813
29/11/2018,117.58,5083509,$118.5105,$119.1695,$117.5039
28/11/2018,119.05,5103750,$117.1264,$119.1397,$116.3618
27/11/2018,116.18,4902206,$114.5808,$116.1875,$114.5711
26/11/2018,115.72,4983724,$114.5711,$116.3908,$114.2711
23/11/2018,113.43,2334730,$114.3001,$114.5404,$113.158
21/11/2018,114.76,5333589,$113.8355,$115.6746,$113.6226
20/11/2018,113.44,6232010,$114.6873,$115.6552,$112.9504
19/11/2018,116.45,4129149,$117.7265,$118.2589,$115.9262
16/11/2018,117.67,4076283,$117.0103,$117.9395,$116.672
15/11/2018,117.54,5203470,$115.8197,$117.5426,$115.6746
14/11/2018,116.34,4753027,$117.2232,$118.0169,$115.9262
13/11/2018,116.96,4058494,$117.3006,$118.3271,$116.052
12/11/2018,117.02,5374419,$119.5365,$119.6043,$116.778
09/11/2018,119.58,6961728,$119.643,$120.5722,$118.0459
08/11/2018,119.42,10392940,$118.7235,$120.4115,$118.6944
07/11/2018,120.83,12371100,$119.8172,$121.0464,$118.4041
06/11/2018,119.17,9593084,$116.8264,$119.8366,$116.4489
05/11/2018,116.21,9127909,$112.374,$116.8941,$112.2772
02/11/2018,111.96,10507760,$113.7387,$113.971,$110.8625
01/11/2018,113.08,13619520,$111.7932,$113.2451,$111.4158
31/10/2018,111.73,21631840,$112.7515,$112.7612,$110.4285
30/10/2018,111.70,21412910,$116.6134,$117.6007,$111.4545
29/10/2018,115.80,20130510,$115.51,$119.9721,$114.5034
26/10/2018,120.79,8758967,$121.1916,$121.7433,$119.7398
25/10/2018,122.39,10269570,$123.1662,$123.6888,$121.1239
24/10/2018,123.13,5646273,$126.9603,$127.4637,$122.9242
23/10/2018,127.00,6461726,$124.8793,$127.6669,$124.2889
22/10/2018,125.85,5629672,$125.4214,$126.2517,$124.2792
19/10/2018,124.96,7720795,$126.457,$127.6572,$123.8534
